Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Gonorrhea, Cum 2018†","Gonorrhea, Cum 2018†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
MISSOURI,2019,3,238,,389,,810,,864,,2,,8,,8,,25,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190324
NEBRASKA,2019,3,,-,106,,,-,155,,,-,3,,,-,1,,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190325
NORTH DAKOTA,2019,3,4,,38,,23,,51,,,-,2,,2,,1,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190326
SOUTH DAKOTA,2019,3,,-,50,,8,,94,,,-,2,,1,,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190327
SOUTH ATLANTIC,2019,3,701,,2531,,1933,,5833,,12,,40,,50,,105,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190328
DELAWARE,2019,3,,-,79,,,-,62,,1,,3,,1,,2,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190329
DISTRICT OF COLUMBIA,2019,3,,-,107,,,-,235,,,-,3,,,-,1,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190330
FLORIDA,2019,3,401,,759,,1106,,1391,,5,,14,,17,,27,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190331
GEORGIA,2019,3,,-,478,,,-,972,,2,,10,,13,,14,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190332
MARYLAND,2019,3,,-,241,,52,,680,,3,,9,,9,,16,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190333
NORTH CAROLINA,2019,3,,-,504,,4,,1221,,,-,7,,2,,20,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190334
SOUTH CAROLINA,2019,3,,-,462,,,-,724,,,-,6,,,-,13,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190335
VIRGINIA,2019,3,300,,430,,771,,492,,1,,6,,8,,7,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190336
WEST VIRGINIA,2019,3,,-,43,,,-,56,,,-,4,,,-,5,,,-,1,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190337
EAST SOUTH CENTRAL,2019,3,154,,1007,,724,,2026,,,-,22,,8,,56,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190338
ALABAMA,2019,3,,-,386,,,-,609,,,-,7,,4,,12,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190339
KENTUCKY,2019,3,,-,215,,,-,211,,,-,7,,,-,11,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190340
MISSISSIPPI,2019,3,66,,229,,450,,567,,,-,3,,4,,9,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190341
TENNESSEE,2019,3,88,,361,,274,,639,,,-,6,,,-,24,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190342
WEST SOUTH CENTRAL,2019,3,176,,1605,,716,,3978,,10,,40,,20,,29,,,-,1,,,-,,-,,WEST SOUTH CENTRAL,20190343
ARKANSAS,2019,3,1,,165,,6,,427,,2,,8,,4,,1,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190344
LOUISIANA,2019,3,148,,285,,521,,553,,,-,5,,2,,5,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190345
OKLAHOMA,2019,3,27,,182,,189,,409,,2,,8,,6,,5,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190346
TEXAS,2019,3,,-,1070,,,-,2589,,6,,28,,8,,18,,,-,1,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20190347
MOUNTAIN,2019,3,192,,889,,1057,,2151,,3,,16,,31,,41,,,-,1,,,-,,-,,MOUNTAIN,20190348
ARIZONA,2019,3,30,,299,,409,,742,,,-,6,,10,,11,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190349
COLORADO,2019,3,155,,270,,458,,497,,1,,5,,10,,13,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190350
IDAHO,2019,3,,-,44,,,-,60,,2,,2,,3,,2,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190351
MONTANA,2019,3,,-,36,,35,,51,,,-,2,,1,,3,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190352
NEVADA,2019,3,,-,155,,,-,323,,,-,5,,,-,2,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190353
NEW MEXICO,2019,3,7,,136,,73,,295,,,-,4,,3,,3,,,-,1,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190354
UTAH,2019,3,,-,81,,82,,152,,,-,3,,4,,6,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190355
WYOMING,2019,3,,-,11,,,-,31,,,-,1,,,-,1,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190356
PACIFIC,2019,3,494,,2094,,3878,,5587,,,-,9,,6,,19,,,-,1,,,-,,-,,PACIFIC,20190357
ALASKA,2019,3,,-,58,,,-,127,,,-,2,,,-,3,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190358
CALIFORNIA,2019,3,186,,1768,,3055,,4549,,,-,3,,,-,5,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190359
HAWAII,2019,3,,-,67,,,-,157,,,-,4,,,-,4,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190360
OREGON,2019,3,143,,149,,372,,325,,,-,7,,6,,7,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190361
WASHINGTON,2019,3,165,,230,,451,,429,,,-,2,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190362
US TERRITORIES,2019,3,,-,19,,,-,13,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190363
AMERICAN SAMOA,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190364
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190365
GUAM,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190366
PUERTO RICO,2019,3,,-,18,,,-,10,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190367
U.S. VIRGIN ISLANDS,2019,3,,-,4,,,-,3,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190368
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190369
TOTAL,2019,3,3423,,12135,,14622,,30234,,43,,149,,204,,435,,,-,3,,,-,1,,,TOTAL,20190370
US RESIDENTS,2019,4,2695,,12149,,21856,,41854,,45,,140,,291,,542,,1,,3,,1,,2,,,US RESIDENTS,20190401
NEW ENGLAND,2019,4,116,,263,,612,,741,,,-,12,,1,,30,,,-,1,,,-,1,,,NEW ENGLAND,20190402
CONNECTICUT,2019,4,,U,,NC,,U,,U,,-,5,,,-,4,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190403
MAINE,2019,4,3,,25,,21,,55,,,-,3,,1,,4,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190404
MASSACHUSETTS,2019,4,104,,190,,553,,625,,,-,7,,,-,12,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190405
NEW HAMPSHIRE,2019,4,4,,24,,30,,33,,,-,3,,,-,6,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190406
RHODE ISLAND,2019,4,5,,98,,8,,28,,,-,4,,,-,1,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190407
VERMONT,2019,4,,-,11,,,-,,-,,-,3,,,-,3,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190408
MIDDLE ATLANTIC,2019,4,666,,1640,,3986,,4691,,8,,27,,49,,68,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20190409
NEW JERSEY,2019,4,43,,217,,480,,644,,,-,10,,1,,19,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190410
NEW YORK,2019,4,153,,373,,570,,681,,2,,13,,13,,13,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190411
NEW YORK CITY,2019,4,267,,690,,1857,,1745,,1,,8,,8,,11,,,-,0,,,-,,-,,NEW YORK CITY,20190412
PENNSYLVANIA,2019,4,203,,551,,1079,,1621,,5,,12,,27,,25,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190413
EAST NORTH CENTRAL,2019,4,469,,1968,,3522,,6306,,4,,26,,54,,91,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20190414
ILLINOIS,2019,4,29,,562,,518,,1851,,,-,11,,6,,19,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190415
INDIANA,2019,4,,-,309,,,-,849,,,-,7,,7,,16,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190416
MICHIGAN,2019,4,172,,442,,906,,1209,,,-,7,,6,,21,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190417
OHIO,2019,4,166,,592,,1523,,1769,,4,,14,,34,,30,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190418
WISCONSIN,2019,4,102,,208,,575,,628,,,-,4,,1,,5,,,-,1,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190419
WEST NORTH CENTRAL,2019,4,264,,908,,1755,,2884,,,-,9,,13,,36,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20190420
IOWA,2019,4,,-,119,,246,,350,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190421
KANSAS,2019,4,50,,131,,357,,357,,,-,2,,,-,1,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190422
MINNESOTA,2019,4,,-,192,,,-,567,,,-,3,,,-,2,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190423
MISSOURI,2019,4,206,,389,,1099,,1194,,,-,8,,8,,27,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190424
NEBRASKA,2019,4,,-,106,,,-,214,,,-,3,,2,,1,,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190425
NORTH DAKOTA,2019,4,8,,38,,45,,80,,,-,2,,2,,1,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190426
SOUTH DAKOTA,2019,4,,-,50,,8,,122,,,-,2,,1,,4,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190427
SOUTH ATLANTIC,2019,4,625,,2532,,3216,,8373,,14,,33,,73,,136,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190428
DELAWARE,2019,4,,-,79,,,-,93,,,-,3,,1,,2,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190429
DISTRICT OF COLUMBIA,2019,4,,-,107,,,-,342,,,-,3,,1,,1,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190430
FLORIDA,2019,4,362,,759,,1680,,2051,,8,,14,,25,,35,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190431
GEORGIA,2019,4,,-,478,,,-,1450,,,-,10,,13,,21,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190432
MARYLAND,2019,4,7,,241,,260,,877,,4,,9,,13,,20,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190433
NORTH CAROLINA,2019,4,1,,509,,250,,1720,,,-,7,,2,,25,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190434
SOUTH CAROLINA,2019,4,,-,462,,,-,1009,,,-,6,,,-,17,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190435
VIRGINIA,2019,4,255,,430,,1026,,751,,2,,8,,18,,8,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190436
WEST VIRGINIA,2019,4,,-,43,,,-,80,,,-,4,,,-,7,,,-,1,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190437
EAST SOUTH CENTRAL,2019,4,12,,1007,,787,,2856,,1,,15,,11,,64,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190438
ALABAMA,2019,4,,-,386,,,-,879,,,-,5,,4,,14,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190439
KENTUCKY,2019,4,,-,215,,,-,303,,,-,7,,,-,14,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190440
MISSISSIPPI,2019,4,12,,243,,513,,754,,1,,4,,7,,9,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190441
TENNESSEE,2019,4,,-,361,,274,,920,,,-,6,,,-,27,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190442
WEST SOUTH CENTRAL,2019,4,73,,1605,,896,,5532,,10,,48,,32,,42,,1,,1,,1,,,-,,WEST SOUTH CENTRAL,20190443
ARKANSAS,2019,4,,-,165,,23,,569,,1,,8,,5,,1,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190444
LOUISIANA,2019,4,45,,285,,596,,808,,,-,5,,2,,9,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190445
OKLAHOMA,2019,4,28,,182,,277,,537,,2,,8,,8,,6,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190446
TEXAS,2019,4,,-,1070,,,-,3618,,7,,36,,17,,26,,1,,1,,1,,,-,"TEXAS
(31.447238, -99.317341)",,20190447
MOUNTAIN,2019,4,91,,869,,1606,,2794,,7,,16,,47,,47,,,-,1,,,-,1,,,MOUNTAIN,20190448
ARIZONA,2019,4,12,,299,,629,,993,,2,,6,,13,,12,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190449
COLORADO,2019,4,,-,270,,458,,660,,1,,5,,11,,15,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190450
IDAHO,2019,4,17,,44,,84,,75,,3,,2,,6,,3,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190451
MONTANA,2019,4,16,,36,,89,,68,,,-,2,,2,,3,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190452
NEVADA,2019,4,,-,128,,20,,371,,,-,5,,2,,3,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190453
NEW MEXICO,2019,4,11,,136,,141,,390,,1,,4,,8,,4,,,-,1,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20190454
UTAH,2019,4,34,,81,,172,,199,,,-,3,,5,,6,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190455
WYOMING,2019,4,1,,11,,13,,38,,,-,1,,,-,1,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190456
PACIFIC,2019,4,379,,2109,,5476,,7677,,1,,9,,11,,28,,,-,1,,,-,,-,,PACIFIC,20190457
ALASKA,2019,4,,-,58,,,-,179,,,-,2,,,-,4,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20190458
CALIFORNIA,2019,4,116,,1777,,4457,,6181,,,-,3,,,-,6,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190459
HAWAII,2019,4,,-,67,,,-,207,,,-,4,,3,,5,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190460
OREGON,2019,4,108,,158,,413,,474,,1,,7,,8,,12,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20190461
WASHINGTON,2019,4,155,,230,,606,,636,,,-,2,,,-,1,,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190462
US TERRITORIES,2019,4,1,,19,,13,,25,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190463
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190464
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190465
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190466
PUERTO RICO,2019,4,1,,19,,13,,22,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190467
U.S. VIRGIN ISLANDS,2019,4,,-,4,,,-,3,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190468
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190469
TOTAL,2019,4,2696,,12159,,21869,,41879,,45,,140,,291,,542,,1,,3,,1,,2,,,TOTAL,20190470
US RESIDENTS,2019,5,3288,,12227,,29227,,52611,,37,,150,,369,,672,,,-,3,,1,,2,,,US RESIDENTS,20190501
NEW ENGLAND,2019,5,18,,265,,654,,958,,,-,12,,5,,38,,,-,1,,,-,1,,,NEW ENGLAND,20190502
CONNECTICUT,2019,5,,U,,NC,,U,,U,,-,5,,,-,5,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190503
MAINE,2019,5,2,,25,,35,,66,,,-,3,,2,,4,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190504
MASSACHUSETTS,2019,5,,-,190,,553,,803,,,-,7,,,-,16,,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190505
NEW HAMPSHIRE,2019,5,11,,24,,53,,45,,,-,3,,3,,9,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190506
RHODE ISLAND,2019,5,5,,112,,13,,44,,,-,4,,,-,1,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190507
VERMONT,2019,5,,-,11,,,-,,-,,-,3,,,-,3,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190508
MIDDLE ATLANTIC,2019,5,788,,1640,,5052,,5959,,8,,27,,61,,91,,,-,1,,,-,,-,,MIDDLE ATLANTIC,20190509
NEW JERSEY,2019,5,50,,217,,608,,815,,,-,10,,3,,24,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190510
NEW YORK,2019,5,193,,384,,762,,870,,6,,15,,19,,18,,,-,1,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20190511
NEW YORK CITY,2019,5,325,,690,,2286,,2190,,1,,8,,9,,18,,,-,0,,,-,,-,,NEW YORK CITY,20190512
PENNSYLVANIA,2019,5,220,,551,,1396,,2084,,1,,12,,30,,31,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20190513
EAST NORTH CENTRAL,2019,5,474,,1968,,4417,,7931,,7,,29,,70,,106,,,-,2,,,-,,-,,EAST NORTH CENTRAL,20190514
ILLINOIS,2019,5,,-,562,,518,,2326,,,-,11,,8,,21,,,-,2,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20190515
INDIANA,2019,5,,-,309,,,-,1109,,,-,7,,9,,21,,,-,2,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20190516
MICHIGAN,2019,5,71,,442,,1059,,1443,,,-,7,,7,,22,,,-,1,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190517
OHIO,2019,5,308,,592,,2135,,2246,,7,,14,,41,,33,,,-,1,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190518
WISCONSIN,2019,5,95,,200,,705,,807,,,-,6,,5,,9,,,-,1,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20190519
WEST NORTH CENTRAL,2019,5,325,,908,,2384,,3633,,2,,9,,18,,44,,,-,1,,,-,,-,,WEST NORTH CENTRAL,20190520
IOWA,2019,5,24,,119,,418,,425,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190521
KANSAS,2019,5,50,,131,,458,,445,,,-,2,,,-,2,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20190522
MINNESOTA,2019,5,,-,192,,,-,724,,,-,3,,,-,2,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190523
US TERRITORIES,2019,16,1,,19,,91,,161,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191663
MISSOURI,2019,5,251,,389,,1455,,1504,,2,,8,,13,,30,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20190524
NEBRASKA,2019,5,,-,106,,,-,258,,,-,3,,2,,3,,,-,1,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190525
NORTH DAKOTA,2019,5,,-,38,,45,,111,,,-,2,,2,,2,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190526
SOUTH DAKOTA,2019,5,,-,50,,8,,166,,,-,2,,1,,5,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190527
SOUTH ATLANTIC,2019,5,784,,2536,,4776,,10595,,7,,33,,94,,166,,,-,1,,,-,,-,,SOUTH ATLANTIC,20190528
DELAWARE,2019,5,,-,79,,,-,123,,,-,3,,1,,2,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190529
DISTRICT OF COLUMBIA,2019,5,,-,107,,,-,424,,,-,3,,1,,1,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190530
FLORIDA,2019,5,420,,759,,2354,,2656,,5,,14,,30,,48,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20190531
GEORGIA,2019,5,128,,435,,318,,1861,,2,,10,,17,,28,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190532
MARYLAND,2019,5,,-,243,,260,,1078,,,-,9,,13,,21,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20190533
NORTH CAROLINA,2019,5,6,,517,,588,,2182,,,-,7,,3,,29,,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190534
SOUTH CAROLINA,2019,5,,-,462,,,-,1205,,,-,6,,8,,18,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190535
VIRGINIA,2019,5,230,,430,,1256,,976,,,-,8,,19,,12,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190536
WEST VIRGINIA,2019,5,,-,43,,,-,90,,,-,4,,2,,7,,,-,1,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190537
EAST SOUTH CENTRAL,2019,5,95,,1008,,993,,3654,,,-,15,,12,,75,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190538
ALABAMA,2019,5,,-,386,,,-,1158,,,-,5,,4,,15,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190539
KENTUCKY,2019,5,,-,215,,,-,342,,,-,7,,,-,17,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190540
MISSISSIPPI,2019,5,6,,262,,630,,953,,,-,4,,8,,12,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190541
TENNESSEE,2019,5,89,,398,,363,,1201,,,-,6,,,-,31,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20190542
WEST SOUTH CENTRAL,2019,5,71,,1605,,1212,,6875,,7,,51,,40,,62,,,-,1,,1,,,-,,WEST SOUTH CENTRAL,20190543
ARKANSAS,2019,5,,-,165,,45,,670,,,-,8,,5,,2,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20190544
LOUISIANA,2019,5,36,,285,,778,,1038,,,-,5,,2,,13,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190545
OKLAHOMA,2019,5,35,,182,,389,,664,,4,,8,,12,,7,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20190546
TEXAS,2019,5,,-,1070,,,-,4503,,3,,39,,21,,40,,,-,1,,1,,,-,"TEXAS
(31.447238, -99.317341)",,20190547
MOUNTAIN,2019,5,254,,870,,2373,,3441,,6,,16,,56,,59,,,-,1,,,-,1,,,MOUNTAIN,20190548
ARIZONA,2019,5,45,,306,,914,,1207,,2,,6,,17,,17,,,-,1,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190549
COLORADO,2019,5,141,,270,,753,,798,,4,,5,,15,,16,,,-,1,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20190550
IDAHO,2019,5,,-,44,,84,,100,,,-,3,,6,,4,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20190551
MONTANA,2019,5,19,,36,,114,,90,,,-,2,,2,,3,,,-,1,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190552
NEVADA,2019,5,,-,128,,20,,468,,,-,5,,3,,3,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190553
NEW MEXICO,2019,5,7,,136,,234,,486,,,-,4,,8,,7,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20190554
UTAH,2019,5,40,,81,,236,,250,,,-,3,,5,,8,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190555
